UTME,UTMN,Elevation,M,T,F,R,,,
309077.1,5326155.59,323.6,-1.54E-02,-9.21E-04,9.93E-01,7.20E-01,,,
309162.53,5326197.12,327.63,-1.31E-02,-7.76E-04,9.97E-01,2.64E-01,,,
309105.82,5326217.04,327.19,-1.32E-02,-7.81E-04,1.00E+00,-2.84E-01,,,
309027.9,5326251.4,321.97,-1.32E-02,-7.83E-04,1.00E+00,-1.87E-02,,,
308966.26,5326285.71,322.58,-1.32E-02,-7.81E-04,1.00E+00,2.24E-02,,,
308113.42,5326426.66,302.72,8.12E-03,4.98E-04,9.67E-01,3.34E+00,,,
307973.21,5326491.33,304.49,3.84E-03,2.33E-04,9.78E-01,2.17E+00,,,
308045.46,5326292.52,302.47,4.50E-03,2.71E-04,9.86E-01,1.40E+00,,,
309231.48,5327386.83,215.2,-3.50E-02,-2.07E-03,1.01E+00,-5.00E-01,,,
309499.19,5327280.77,232.53,-3.83E-02,-2.33E-03,9.76E-01,2.37E+00,,,
309630.97,5327220.23,223.15,-3.62E-02,-2.41E-03,8.91E-01,1.09E+01,,,
309765.88,5327147.6,239.77,-3.67E-02,-2.07E-03,1.05E+00,-5.08E+00,,,
310137.97,5327075.17,203.99,2.39E-01,1.35E-02,1.05E+00,-4.89E+00,,,
310106.19,5326993.28,204.04,-4.01E-02,-2.37E-03,1.00E+00,-4.13E-01,,,
310052.84,5326873.5,210.49,-1.77E-02,-1.05E-03,1.00E+00,-3.22E-01,,,
310308.65,5326894.85,207.05,-4.48E-02,-2.60E-03,1.02E+00,-2.35E+00,,,
310241.85,5326929.23,202.54,-4.51E-02,-2.71E-03,9.86E-01,1.39E+00,,,
310271.01,5326994.97,201.54,3.00E-01,1.68E-02,1.06E+00,-5.82E+00,,,
309984.24,5326732.93,248.83,-1.25E-02,-7.32E-04,1.01E+00,-1.00E+00,,,
309367.48,5327170.5,234.94,-1.58E-02,-9.32E-04,1.01E+00,-6.61E-01,,,
307902.46,5326691.87,342.15,2.88E-03,1.73E-04,9.89E-01,1.11E+00,,,
308272.44,5326364.42,304.56,3.48E-02,2.39E-03,8.62E-01,1.38E+01,,,
308216.24,5326220.21,304.25,9.74E-03,5.97E-04,9.68E-01,3.24E+00,,,
308405.57,5327776.58,234.08,2.61E-03,1.56E-04,9.92E-01,7.55E-01,,,
308343.05,5327637.82,243.36,3.12E-03,1.90E-04,9.76E-01,2.38E+00,,,
308611.08,5327516.26,238.66,2.38E-02,1.48E-03,9.52E-01,4.77E+00,,,
308747.32,5327452.3,239.47,-4.77E-02,-2.91E-03,9.71E-01,2.92E+00,,,
308886.34,5327391.77,236.14,-2.40E-02,-1.42E-03,1.00E+00,-1.52E-01,,,
308947.03,5327532.42,224.21,-9.89E-02,-5.97E-03,9.82E-01,1.78E+00,,,
309020.68,5327326.93,233.73,-1.88E-02,-1.10E-03,1.01E+00,-1.04E+00,,,
309160.02,5327267.15,236.06,-1.69E-02,-9.94E-04,1.01E+00,-1.03E+00,,,
309229.03,5327389.13,215.84,-3.49E-02,-2.09E-03,9.93E-01,7.48E-01,,,
309231.48,5327386.83,215.2,-3.49E-02,-2.07E-03,1.00E+00,-2.05E-01,,,
309370.45,5327332.08,239.06,-3.63E-02,-2.12E-03,1.02E+00,-1.62E+00,,,
309499.19,5327280.77,232.53,-3.66E-02,-2.33E-03,9.33E-01,6.68E+00,,,
309504.65,5327273.27,231.42,-3.66E-02,-2.21E-03,9.80E-01,1.95E+00,,,
309630.97,5327220.23,223.15,-3.84E-02,-2.41E-03,9.45E-01,5.51E+00,,,
309629.84,5327213.12,224.58,-3.84E-02,-2.21E-03,1.03E+00,-2.90E+00,,,
309765.88,5327147.6,239.77,-3.56E-02,-2.07E-03,1.02E+00,-2.12E+00,,,
309904.24,5327083.09,208.95,-3.40E-02,-2.11E-03,9.57E-01,4.29E+00,,,
310034.22,5327020.88,207.22,-3.68E-02,-2.17E-03,1.01E+00,-6.53E-01,,,
310175.25,5326957.63,201.96,-3.94E-02,-2.43E-03,9.62E-01,3.78E+00,,,
310308.65,5326894.85,207.05,-4.56E-02,-2.60E-03,1.04E+00,-4.12E+00,,,
310442.81,5326838.73,233.97,-5.07E-02,-2.94E-03,1.02E+00,-2.12E+00,,,
310381.87,5326701.6,245.3,-2.44E-02,-1.43E-03,1.01E+00,-8.64E-01,,,
310523.49,5326633.17,250.4,-7.84E-02,-5.30E-03,8.78E-01,1.22E+01,,,
310659.47,5326572.87,203.71,1.44E-02,9.54E-04,8.94E-01,1.06E+01,,,
310806.58,5326502.71,197.46,5.18E-03,3.22E-04,9.54E-01,4.63E+00,,,
310931.2,5326443.87,206.43,3.00E-03,1.80E-04,9.91E-01,8.71E-01,,,
310871.96,5326308.78,216.27,3.44E-03,2.05E-04,9.94E-01,6.14E-01,,,
310978.46,5326554.25,188.23,2.55E-03,1.53E-04,9.88E-01,1.15E+00,,,
310725.92,5326377.13,199.36,7.40E-03,4.51E-04,9.74E-01,2.63E+00,,,
310591.8,5326437.78,204.81,2.83E-02,1.89E-03,8.87E-01,1.13E+01,,,
310463.95,5326496.73,241.01,-4.41E-02,-2.47E-03,1.06E+00,-5.87E+00,,,
310313.34,5326564.67,268.23,-1.88E-02,-1.08E-03,1.03E+00,-3.29E+00,,,
310184.25,5326626.2,283.75,-1.44E-02,-8.36E-04,1.02E+00,-1.91E+00,,,
310244.75,5326762.59,234.14,-1.89E-02,-1.11E-03,1.01E+00,-1.11E+00,,,
310106.91,5326830.78,218.25,-1.73E-02,-1.02E-03,1.01E+00,-9.65E-01,,,
309973.83,5326891.68,216.59,-1.63E-02,-9.64E-04,1.01E+00,-5.48E-01,,,
309836.32,5326954.46,234.38,-1.58E-02,-9.31E-04,1.01E+00,-5.89E-01,,,
309569.92,5327074.7,235.28,-1.55E-02,-9.11E-04,1.01E+00,-7.16E-01,,,
309433.51,5327152.79,226.75,-1.61E-02,-9.61E-04,9.96E-01,4.39E-01,,,
309294.84,5327200.36,241.44,-1.60E-02,-9.33E-04,1.02E+00,-1.93E+00,,,
309096.48,5327128.14,254.03,-1.25E-02,-7.35E-04,1.01E+00,-7.19E-01,,,
309236.76,5327065.35,246.79,-1.17E-02,-6.92E-04,1.01E+00,-6.57E-01,,,
309370.89,5327001.77,237.12,-1.14E-02,-6.70E-04,1.01E+00,-9.44E-01,,,
309509.24,5326939.16,276.69,-1.13E-02,-6.56E-04,1.02E+00,-1.71E+00,,,
309642.07,5326874.43,277.08,-1.12E-02,-6.55E-04,1.01E+00,-1.37E+00,,,
