UTME,UTMN,Elevation,M,T,F,R,
310506.380000,5326972.290000,200.700000,2.00e-02,1.31e-03,9.07e-01,9.32e+00
310544.480000,5327112.910000,204.730000,6.75e-03,4.06e-04,9.87e-01,1.26e+00
310434.450000,5327169.070000,204.090000,7.67e-03,4.54e-04,1.00e+00,-1.71e-01
310301.660000,5327233.460000,211.240000,8.26e-03,4.91e-04,9.97e-01,3.35e-01
310164.940000,5327293.170000,205.170000,8.96e-03,5.32e-04,9.99e-01,1.26e-01
308411.420000,5325990.650000,318.710000,8.52e-03,5.07e-04,9.96e-01,4.05e-01
308257.360000,5326026.670000,320.400000,5.57e-03,3.33e-04,9.92e-01,7.95e-01
308128.980000,5326087.190000,320.670000,4.14e-03,2.46e-04,9.99e-01,1.38e-01
308885.790000,5326158.650000,319.410000,-2.10e-02,-1.25e-03,1.00e+00,-1.96e-01
309025.220000,5326089.300000,322.610000,-2.02e-02,-1.23e-03,9.72e-01,2.80e+00
309077.100000,5326155.590000,323.600000,-1.54e-02,-9.21e-04,9.93e-01,7.20e-01
309162.530000,5326197.120000,327.630000,-1.31e-02,-7.76e-04,9.97e-01,2.64e-01
309105.820000,5326217.040000,327.190000,-1.32e-02,-7.81e-04,1.00e+00,-2.84e-01
309027.900000,5326251.400000,321.970000,-1.32e-02,-7.83e-04,1.00e+00,-1.87e-02
308966.260000,5326285.710000,322.580000,-1.32e-02,-7.81e-04,1.00e+00,2.24e-02
308113.420000,5326426.660000,302.720000,8.12e-03,4.98e-04,9.67e-01,3.34e+00
307973.210000,5326491.330000,304.490000,3.84e-03,2.33e-04,9.78e-01,2.17e+00
308045.460000,5326292.520000,302.470000,4.50e-03,2.71e-04,9.86e-01,1.40e+00
309231.480000,5327386.830000,215.200000,-3.50e-02,-2.07e-03,1.01e+00,-5.00e-01
309499.190000,5327280.770000,232.530000,-3.83e-02,-2.33e-03,9.76e-01,2.37e+00
309630.970000,5327220.230000,223.150000,-3.62e-02,-2.41e-03,8.91e-01,1.09e+01
309765.880000,5327147.600000,239.770000,-3.67e-02,-2.07e-03,1.05e+00,-5.08e+00
310137.970000,5327075.170000,203.990000,2.39e-01,1.35e-02,1.05e+00,-4.89e+00
310106.190000,5326993.280000,204.040000,-4.01e-02,-2.37e-03,1.00e+00,-4.13e-01
310052.840000,5326873.500000,210.490000,-1.77e-02,-1.05e-03,1.00e+00,-3.22e-01
310308.650000,5326894.850000,207.050000,-4.48e-02,-2.60e-03,1.02e+00,-2.35e+00
